City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,paso de los libres,-29.7131,-57.0899,27.02,44,0,1.03,AR,1741629340
83,jayapura,-2.5333,140.7,22.66,92,100,1.4,ID,1741629341
84,stanley,54.868,-1.6985,5.01,75,75,6.69,GB,1741629343
85,labrador city,52.9463,-66.9114,-15.05,61,100,1.54,CA,1741629344
86,broome,42.2506,-75.833,14.25,39,0,2.24,US,1741629345
87,launceston,-41.45,147.1667,13.8,71,100,8.75,AU,1741629346
88,kodiak,57.79,-152.4072,0.73,80,75,6.69,US,1741629095
89,porto novo,6.4965,2.6036,30.9,76,88,4.66,BJ,1741629348
90,wailua homesteads,22.0669,-159.378,21.44,92,100,8.75,US,1741629195
91,longyearbyen,78.2186,15.6401,-16.09,85,20,5.66,SJ,1741629351
92,alaghsas,17.0187,8.0168,37.94,10,0,2.06,NE,1741629352
93,redwood falls,44.5394,-95.1169,17.08,41,0,5.14,US,1741629354
94,bredasdorp,-34.5322,20.0403,18.46,58,37,2.89,ZA,1741629355
95,papatowai,-46.5619,169.4708,12.32,74,99,3.09,NZ,1741629356
96,charters towers,-20.1,146.2667,23.03,95,37,4.07,AU,1741629358
97,tumpat,6.1978,102.171,26.99,88,40,4.63,MY,1741629359
98,byron bay,-28.65,153.6167,22.35,83,99,2.68,AU,1741629360
99,port alfred,-33.5906,26.891,18.99,92,5,0.45,ZA,1741629362
100,sinjai,-5.1241,120.253,23.45,91,100,1.79,ID,1741629363
101,taoudenni,22.6783,-3.9836,30.82,14,20,3.36,ML,1741629364
102,puerto ayora,-0.7393,-90.3518,27.53,93,43,1.79,EC,1741629365
103,sauri,11.7266,6.7837,33.74,11,100,4.2,NG,1741629366
104,leninskoye,41.7589,69.3864,6.45,71,0,1.45,KZ,1741629368
105,nuuk,64.1835,-51.7216,5.34,48,75,19.03,GL,1741629369
106,broken hill,-31.95,141.4333,24.48,58,21,4.16,AU,1741629370
107,san luis,-33.295,-66.3356,26.12,40,2,9.07,AR,1741629194
108,tommot,58.9564,126.2925,-38.69,100,96,0.64,RU,1741629372
109,carnarvon,-24.8667,113.6333,23.66,78,0,5.7,AU,1741629157
110,bilibino,68.0546,166.4372,-31.51,95,63,1.48,RU,1741629374
111,marquette,46.5333,-87.6335,10.69,89,99,5.28,US,1741629375
112,gilgit,35.9221,74.3087,4.95,77,100,1.4,PK,1741629376
113,alice springs,-23.7,133.8833,29.75,26,51,4.63,AU,1741629226
114,gadzhiyevo,69.2551,33.3362,-6.78,94,100,4.14,RU,1741629379
115,changji,44.0167,87.3167,0.44,51,0,2.0,CN,1741629380
116,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,3.6,EC,1741629381
117,jijiga,9.35,42.8,21.19,67,80,3.94,ET,1741629382
118,ancud,-41.8697,-73.8203,14.81,49,59,3.54,CL,1741629140
119,udachny,66.4167,112.4,-34.56,99,50,1.92,RU,1741629384
120,haiku-pauwela,20.9219,-156.3051,22.36,76,40,13.86,US,1741629386
121,college,64.8569,-147.8028,-10.03,68,20,3.09,US,1741629215
122,whangarei,-35.7317,174.3239,14.09,92,40,1.16,NZ,1741629388
123,smithers,54.7804,-127.1743,0.18,64,100,3.09,CA,1741629389
124,polyarnyy,69.1989,33.4478,-6.39,94,100,3.99,RU,1741629390
125,road town,18.4167,-64.6167,28.02,69,40,3.6,VG,1741629391
126,huarmey,-10.0681,-78.1522,25.51,72,98,5.04,PE,1741629392
127,sao geraldo do araguaia,-6.4006,-48.555,28.22,78,93,0.88,BR,1741629393
128,ceres,37.5949,-120.9577,14.43,63,100,2.62,US,1741629395
